name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,realease_year
Echoes,D0d.,0.491,0.039,6,-20.797,1,0.0361,0.973,0.935,0.106,0.124,60.001,144000,4,2022
until we sleep,Eric Goldander,0.816,0.295,8,-13.141,1,0.0516,0.372,0.89,0.108,0.519,78.951,141167,4,2022
Godspeed,Mu'gambi,0.793,0.442,8,-16.595,1,0.0841,0.855,0.929,0.0935,0.518,89.97,141067,4,2022
Have A Good Night,iTaZe,0.555,0.123,0,-15.392,0,0.0546,0.978,0.946,0.0896,0.299,75.012,152838,4,2022
sky,MF Eistee,0.591,0.348,5,-10.333,1,0.499,0.511,0.00267,0.177,0.333,161.35,106667,4,2022
Paradise,YetBaby,0.398,0.51,11,-9.822,0,0.0496,0.42,0.946,0.109,0.341,154.293,150086,4,2022
Why Did You,HATAMITSUNAMI,0.63,0.382,0,-10.117,0,0.0785,0.462,0.618,0.178,0.262,77.976,173771,4,2022
4 Da Soul,L E F,0.66,0.283,4,-14.045,0,0.0638,0.372,0.906,0.165,0.269,79.981,150871,4,2022
Solar Wind,El Jazzy Chavo,0.635,0.674,10,-9.492,0,0.0318,0.335,0.881,0.407,0.577,171.974,160000,4,2022
Autumn Theory,CrazyJaZz,0.766,0.262,5,-14.701,0,0.0396,0.633,0.838,0.118,0.348,84.955,113000,4,2022
Agra,Lofi Cities,0.565,0.375,4,-13.695,1,0.0321,0.876,0.895,0.102,0.085,139.988,154286,4,2022
ILY Eeve,Au-Gustí,0.64,0.575,4,-9.28,1,0.135,0.277,0.89,0.116,0.146,149.96,146867,4,2022
Smoke,Lou Filou,0.645,0.55,9,-7.127,0,0.036,0.0478,0.929,0.423,0.0382,93.016,125444,4,2022
Colors Clear,Linkrust,0.524,0.401,0,-13.503,1,0.09,0.541,0.91,0.119,0.0398,76.926,175282,4,2022
Este Amor,Mylo B,0.811,0.333,10,-11.084,0,0.122,0.75,0.744,0.0997,0.507,77.978,123149,4,2022
The Exchange,Ben Jammin' Beats,0.613,0.236,8,-13.088,1,0.0443,0.733,0.722,0.148,0.281,86.061,151395,4,2022
Empire Faith Building,Cmd q,0.742,0.364,0,-12.697,0,0.0422,0.741,0.899,0.0695,0.444,179.91,113667,4,2022
Hoopers Paradise,Mamoosh,0.65,0.374,4,-13.321,0,0.0484,0.395,0.849,0.155,0.256,86.985,148507,4,2022
Nightfall,Mellow.,0.784,0.157,2,-12.174,0,0.0811,0.886,0.931,0.0942,0.594,221.881,120010,3,2022
Two Seasons,Donkeychote,0.761,0.327,11,-13.197,1,0.0652,0.831,0.953,0.102,0.6,74.979,136865,4,2022
Limesoda,ron quixote,0.798,0.44,2,-7.277,0,0.0722,0.726,0.915,0.104,0.388,170.077,142375,4,2022
Multi-Level Approach,Chuttersnap,0.65,0.84,3,-8.101,1,0.15,0.386,0.929,0.761,0.944,170.084,132706,4,2022
Vanilla,ZeDe,0.694,0.698,0,-9.739,1,0.131,0.091,0.868,0.119,0.766,172.075,147907,4,2022
Bossa De Flauta,Papi Churro,0.815,0.579,9,-7.366,1,0.277,0.34,0.89,0.14,0.881,85.947,114419,4,2022
Jaguar's Yoghurt Treat,Burrito Eats,0.652,0.494,8,-9.335,0,0.024,0.701,0.913,0.227,0.634,80.021,111375,4,2022
Seaside Stroll,Tenda Senda,0.644,0.179,4,-19.959,0,0.036,0.189,0.759,0.121,0.228,146.117,147945,4,2022
Ichika,Neko Kedi,0.681,0.299,2,-13.06,1,0.0556,0.941,0.91,0.258,0.566,82.045,122927,4,2022
Reflections,CRFT,0.688,0.126,8,-17.372,1,0.0979,0.99,0.955,0.111,0.385,73.538,120750,4,2022
Lost Coast,Tree60,0.642,0.501,9,-11.338,0,0.0326,0.505,0.828,0.115,0.364,82.003,163940,4,2022
Fly Off,Linkrust,0.671,0.34,6,-9.553,0,0.042,0.197,0.619,0.102,0.452,86.037,166672,4,2022
Don't Let It Cloud Your View,Inf,0.634,0.469,7,-10.279,0,0.138,0.0538,0.501,0.111,0.809,88.145,111818,4,2022
What You Need,Sugar Coast,0.656,0.512,7,-6.552,1,0.0349,0.371,0.331,0.171,0.851,159.954,137842,4,2022
Cirrus,Czapter,0.682,0.216,0,-15.85,1,0.0638,0.865,0.924,0.119,0.238,111.873,108571,5,2022
Sunday Clouds,Loufish,0.6,0.0951,1,-14.334,0,0.0486,0.861,0.884,0.105,0.398,170.158,90353,4,2022
Shifts,KaspaHauser,0.701,0.347,11,-12.167,0,0.252,0.896,0.0562,0.113,0.748,103.944,148613,4,2022
Red Space,Dennis Duzhmer,0.724,0.403,0,-13.866,1,0.0455,0.14,0.816,0.109,0.594,95.005,126438,4,2022
Balancing Act,Thin Wire,0.619,0.347,2,-16.198,0,0.075,0.725,0.878,0.731,0.623,78.015,100076,4,2022
lost,Wieland & Ulrich,0.823,0.267,11,-10.236,0,0.0699,0.691,0.874,0.105,0.337,90.036,139667,4,2022
snow flowers,flamingo zamperoni,0.561,0.333,6,-13.941,1,0.141,0.628,0.794,0.116,0.298,88.138,122500,4,2022
The Road Continues,éurdún,0.785,0.561,2,-11.116,0,0.0522,0.227,0.869,0.106,0.708,145.941,107215,4,2022
October,Oslo,0.675,0.391,10,-16.962,0,0.0483,0.574,0.925,0.129,0.882,80.012,117000,4,2022
Everything,Lisa_Juice,0.699,0.32,4,-11.274,0,0.0287,0.429,0.87,0.112,0.565,79.975,111687,4,2022
Mesa Rework,Seaspray,0.756,0.486,0,-6.756,1,0.0562,0.543,0.719,0.081,0.511,149.133,110599,4,2022
Velvet,Peter Kind,0.701,0.379,10,-10.377,0,0.156,0.446,0.176,0.144,0.794,81.063,150037,4,2022
Late Night Opening at the Aquarium,M e a d o w,0.703,0.294,1,-10.991,1,0.0343,0.923,0.914,0.105,0.137,96.022,135166,4,2022
Steam,Tomh.,0.664,0.409,10,-16.125,0,0.109,0.228,0.889,0.0898,0.234,80.032,135774,4,2022
Hello,Spaceman,0.663,0.481,2,-8.206,0,0.0553,0.483,0.913,0.113,0.509,80.028,132993,4,2022
Distant View,sleepsleepsleep,0.59,0.476,5,-9.555,1,0.151,0.743,0.851,0.0994,0.388,168.137,102857,4,2022
Day One,DHANYA,0.701,0.473,4,-10.935,0,0.288,0.0561,0.858,0.1,0.632,196.07,133261,4,2022
cloudsleeper,damaa.beats,0.683,0.203,2,-8.71,0,0.0474,0.713,0.84,0.146,0.475,79.997,159000,4,2022
Mirage,elmo,0.601,0.489,5,-7.925,0,0.037,0.459,0.89,0.0709,0.151,91.147,197678,4,2022
What would Mr. Wellington say?,Mean Dartin,0.842,0.516,9,-12.982,1,0.0493,0.735,0.892,0.0922,0.485,119.923,161000,4,2022
Again Again,Dexter,0.655,0.703,5,-11.324,0,0.178,0.148,0.865,0.364,0.848,136.488,110236,4,2022
Low Key Hype,Michael Danny,0.68,0.297,2,-11.894,0,0.0362,0.0922,0.881,0.103,0.34,81.985,146341,4,2022
Sunflower,Gyatso,0.623,0.0293,7,-26.924,1,0.0481,0.947,0.925,0.114,0.199,120.086,113500,4,2022
Echoes,the.lazyb,0.511,0.288,4,-12.254,1,0.164,0.59,0.84,0.0751,0.299,87.043,132400,4,2022
Sleepyhead,Sir. Avalon,0.588,0.361,3,-9.981,0,0.0317,0.448,0.915,0.263,0.495,79.985,134545,4,2022
Midnight Smoke,Spectacular Diagnostics,0.758,0.434,5,-9.098,0,0.0299,0.589,0.811,0.168,0.655,82.011,105349,4,2022
Resurrection,illuZion,0.772,0.449,6,-8.611,1,0.0455,0.882,0.543,0.11,0.484,92.979,178887,4,2022
done,alfrer,0.61,0.0847,7,-19.96,1,0.0739,0.69,0.929,0.0988,0.0486,153.697,177662,4,2022
